pid,name,year_month,prod_holding_signal,gs_holding_signal,match
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-06,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-11,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2021-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2022-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-05,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-10,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2023-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-04,"TECL,TQQQ",XLU,MISMATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2024-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2025-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2502,シン青龍-常勝,2026-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2012-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-07,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2013-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2014-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-11,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2015-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2016-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2017-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2018-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2019-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2020-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-06,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-11,"TECL,TQQQ",XLU,MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2021-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-07,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2022-12,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-08,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-09,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-10,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-11,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2023-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-02,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-03,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-04,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-05,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-06,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-07,"TECL,TQQQ",XLU,MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-09,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2024-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-01,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-02,XLU,XLU,MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-03,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-04,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-05,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-06,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-07,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-08,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-09,XLU,"TQQQ,TECL",MISMATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-10,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-11,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2025-12,"TECL,TQQQ","TQQQ,TECL",MATCH
DM2_SXLU_T2_M_L2754,シン青龍-鉄壁,2026-01,"TECL,TQQQ","TQQQ,TECL",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-03,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-04,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-05,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-06,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-07,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-08,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-09,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-10,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-11,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2012-12,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-01,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-02,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-03,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-04,TMV,"TECL,TQQQ",MISMATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-05,TMV,"TECL,TQQQ",MISMATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-06,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-07,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-08,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-09,TMV,TMV,MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-10,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-11,"TECL,TQQQ","TECL,TQQQ",MATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2013-12,TMV,"TECL,TQQQ",MISMATCH
DM3_STMV_T2_Be_L0003,シン朱雀-激攻,2014-01,TMV,"TECL,TQQQ",MISMATCH
